TITLE,ARTIST,GENRE,YEAR,BPM,ENERGY,dB,DURATION,SPEECH,POPULARITY
Tonight Tonight,Hot Chelle Rae,dance pop,2011,100,78,-5,200,12,75
Take Me To Church,Hozier,irish singer-songwriter,2015,129,66,-5,242,5,81
I Love It (feat. Charli XCX),Icona Pop,candy pop,2013,126,91,-3,157,3,67
Fancy,Iggy Azalea,australian hip hop,2014,95,72,-4,200,7,70
Mi Gente (feat. Beyoncé),J Balvin,latin,2018,105,72,-6,210,8,68
Impossible,James Arthur,pop,2013,170,70,-5,209,9,77
BURNITUP!,Janet Jackson,dance pop,2016,123,71,-7,250,18,31
Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,2014,100,65,-7,178,23,68
Wiggle (feat. Snoop Dogg),Jason Derulo,dance pop,2014,82,62,-7,193,25,67
Want to Want Me,Jason Derulo,dance pop,2015,114,68,-6,208,6,77
Trumpets,Jason Derulo,dance pop,2015,82,70,-5,217,24,69
Dangerous,Jennifer Hudson,dance pop,2015,109,53,-5,255,5,18
On The Floor,Jennifer Lopez,dance pop,2011,130,78,-5,285,5,69
I'm Into You,Jennifer Lopez,dance pop,2011,84,75,-4,200,14,59
Papi,Jennifer Lopez,dance pop,2011,120,81,-5,223,6,58
Invading My Mind,Jennifer Lopez,dance pop,2011,129,88,-4,201,7,31
Dance Again,Jennifer Lopez,dance pop,2012,128,86,-5,237,7,66
Live It Up,Jennifer Lopez,dance pop,2013,128,73,-5,244,17,57
I Luh Ya Papi,Jennifer Lopez,dance pop,2014,96,73,-6,207,42,28
Booty,Jennifer Lopez,dance pop,2015,129,95,-4,210,5,64
"Feel The Light - From The ""Home"" Soundtrack",Jennifer Lopez,dance pop,2015,156,60,-6,292,5,55
Ain't Your Mama,Jennifer Lopez,dance pop,2016,120,68,-6,218,23,72
Don't Be so Hard on Yourself,Jess Glynne,dance pop,2015,120,82,-3,211,3,52
Price Tag,Jessie J,australian pop,2011,175,83,-4,223,18,72
Domino,Jessie J,australian pop,2012,127,55,-5,232,3,69
Bang Bang,Jessie J,australian pop,2015,150,75,-4,199,9,61
Foolish Games,Jewel,alaska indie,2013,132,34,-11,250,3,36
Picky - Remix,Joey Montana,latin,2016,186,81,-3,225,7,29
All of Me,John Legend,neo mellow,2014,120,26,-7,270,3,86
Start,John Legend,neo mellow,2016,110,4,-15,310,4,47
Love Me Again,John Newman,pop,2014,126,89,-5,240,4,73
Mama,Jonas Blue,dance pop,2017,104,79,-4,184,4,75
Pom Poms,Jonas Brothers,boy band,2013,148,98,-2,198,9,52
Only Human,Jonas Brothers,boy band,2019,94,50,-6,183,7,87
Sucker,Jonas Brothers,boy band,2019,138,73,-5,181,6,86
Baby,Justin Bieber,canadian pop,2010,65,86,-5,214,14,77
Beauty And A Beat,Justin Bieber,canadian pop,2012,128,84,-5,228,6,72
Boyfriend,Justin Bieber,canadian pop,2012,97,55,-6,171,5,71
Heartbreaker,Justin Bieber,canadian pop,2013,105,52,-7,263,10,61
