TITLE,ARTIST,GENRE,YEAR,BPM,ENERGY,dB,DURATION,SPEECH,POPULARITY,INDEX
Antisocial (with Travis Scott),Ed Sheeran,pop,2019,152,82,-5,162,5,78,179
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,2019,95,79,-6,206,12,75,180
Lights - Single Version,Ellie Goulding,dance pop,2012,120,80,-6,211,4,65,181
Anything Could Happen,Ellie Goulding,dance pop,2013,103,78,-4,286,3,52,182
Burn,Ellie Goulding,dance pop,2014,87,78,-5,231,4,71,183
"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop,2015,190,61,-7,253,5,79,184
On My Mind,Ellie Goulding,dance pop,2015,155,71,-7,213,5,65,185
Next To Me,Emeli Sandé,dance pop,2013,95,80,-5,197,4,60,186
Clown,Emeli Sandé,dance pop,2013,130,23,-8,221,4,60,187
Hurts,Emeli Sandé,dance pop,2016,106,64,-8,238,3,57,188
Love The Way You Lie,Eminem,detroit hip hop,2010,87,93,-5,263,23,82,189
Walk On Water (feat. Beyoncé),Eminem,detroit hip hop,2018,82,44,-10,304,24,65,190
I Like It,Enrique Iglesias,dance pop,2010,129,94,-3,231,9,63,191
Tonight (I'm Fuckin' You),Enrique Iglesias,dance pop,2011,126,89,-4,232,5,63,192
Finally Found You,Enrique Iglesias,dance pop,2013,128,88,-5,221,10,52,193
Let Me Be Your Lover,Enrique Iglesias,dance pop,2015,112,90,-4,238,13,34,194
MOVE TO MIAMI,Enrique Iglesias,dance pop,2018,100,87,-4,169,5,64,195
Like A G6,Far East Movement,dance pop,2010,125,84,-8,217,45,72,196
A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2013,130,62,-6,241,18,65,197
A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2014,130,62,-6,241,18,65,198
L.A.LOVE (la la),Fergie,dance pop,2015,202,39,-8,193,9,0,199
Worth It,Fifth Harmony,dance pop,2015,100,77,-4,225,9,75,200
BO$$,Fifth Harmony,dance pop,2015,103,87,-5,171,11,66,201
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,dance pop,2016,105,59,-6,214,4,79,202
Angel,Fifth Harmony,dance pop,2017,124,53,-6,189,4,59,203
Club Can't Handle Me (feat. David Guetta),Flo Rida,dance pop,2010,128,87,-4,235,3,73,204
My House,Flo Rida,dance pop,2015,94,70,-5,192,5,77,205
Dog Days Are Over,Florence + The Machine,art pop,2010,150,81,-5,253,9,58,206
St Jude,Florence + The Machine,art pop,2015,117,43,-11,225,3,47,207
Wish That You Were Here - From “Miss Peregrine’s Home for Peculiar Children” Original Motion Picture,Florence + The Machine,art pop,2016,94,57,-6,403,3,57,208
Some Nights,fun.,baroque pop,2012,108,74,-7,277,5,72,209
We Are Young (feat. Janelle Monáe),fun.,baroque pop,2012,184,64,-6,251,8,63,210
Rich Boy,Galantis,big room,2017,110,90,-2,184,5,55,211
"Me, Myself & I",G-Eazy,hip hop,2016,112,67,-7,251,10,78,212
Him & I (with Halsey),G-Eazy,hip hop,2018,88,73,-6,269,9,78,213
Baby Don't Lie,Gwen Stefani,dance pop,2015,100,55,-5,203,3,52,214
Spark The Fire,Gwen Stefani,dance pop,2015,120,80,-4,202,6,39,215
Make Me Like You,Gwen Stefani,dance pop,2016,118,71,-5,217,5,50,216
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,dance pop,2012,90,80,-3,211,10,54,217
Starving,Hailee Steinfeld,dance pop,2016,100,62,-4,182,6,78,218
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,dance pop,2018,103,71,-4,175,5,82,219
Capital Letters,Hailee Steinfeld,dance pop,2018,100,81,-6,219,8,76,220
Bad At Love,Halsey,dance pop,2018,118,75,-4,181,3,78,221
Sign of the Times,Harry Styles,dance pop,2018,120,57,-5,341,3,72,222
What I Need (feat. Kehlani),Hayley Kiyoko,dance pop,2018,104,79,-4,220,6,67,223
Sparks,Hilary Duff,dance pop,2015,122,88,-5,186,6,44,224
Little Lies,Hilary Duff,dance pop,2016,124,76,-6,204,6,36,225
Tonight Tonight,Hot Chelle Rae,dance pop,2011,100,78,-5,200,12,75,226
Take Me To Church,Hozier,irish singer-songwriter,2015,129,66,-5,242,5,81,227
I Love It (feat. Charli XCX),Icona Pop,candy pop,2013,126,91,-3,157,3,67,228
Fancy,Iggy Azalea,australian hip hop,2014,95,72,-4,200,7,70,229
Mi Gente (feat. Beyoncé),J Balvin,latin,2018,105,72,-6,210,8,68,230
Impossible,James Arthur,pop,2013,170,70,-5,209,9,77,231
BURNITUP!,Janet Jackson,dance pop,2016,123,71,-7,250,18,31,232
Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,2014,100,65,-7,178,23,68,233
Wiggle (feat. Snoop Dogg),Jason Derulo,dance pop,2014,82,62,-7,193,25,67,234
Want to Want Me,Jason Derulo,dance pop,2015,114,68,-6,208,6,77,235
Trumpets,Jason Derulo,dance pop,2015,82,70,-5,217,24,69,236
Dangerous,Jennifer Hudson,dance pop,2015,109,53,-5,255,5,18,237
On The Floor,Jennifer Lopez,dance pop,2011,130,78,-5,285,5,69,238
I'm Into You,Jennifer Lopez,dance pop,2011,84,75,-4,200,14,59,239
Papi,Jennifer Lopez,dance pop,2011,120,81,-5,223,6,58,240
Invading My Mind,Jennifer Lopez,dance pop,2011,129,88,-4,201,7,31,241
Dance Again,Jennifer Lopez,dance pop,2012,128,86,-5,237,7,66,242
Live It Up,Jennifer Lopez,dance pop,2013,128,73,-5,244,17,57,243
I Luh Ya Papi,Jennifer Lopez,dance pop,2014,96,73,-6,207,42,28,244
Booty,Jennifer Lopez,dance pop,2015,129,95,-4,210,5,64,245
