TITLE,ARTIST,GENRE,YEAR,BPM,ENERGY,dB,DURATION,SPEECH,POPULARITY,TITLE-PIE,ARTIST-PIE,GENRE-PIE,YEAR-PIE,BPM-PIE,ENERGY-PIE,dB-PIE,DURATION-PIE,SPEECH-PIE,POPULARITY-PIE
Finesse - Remix; feat. Cardi B,Bruno Mars,pop,2018,105,86,-5,217,10,78,Other,Other,Other,Other,Other,Other,-4,Other,Other,Other
Under Control,Calvin Harris,dance pop,2013,126,92,-3,184,8,74,Other,Other,Other,Other,Other,Other,-4,Other,Other,Other
Sweet Nothing (feat. Florence Welch),Calvin Harris,dance pop,2013,128,93,-4,213,11,72,Other,Other,Other,Other,Other,Other,-4,Other,Other,Other
Summer,Calvin Harris,dance pop,2014,128,86,-4,223,3,80,Other,Other,Other,Other,Other,Other,-4,Other,Other,Other
How Deep Is Your Love,Calvin Harris,dance pop,2015,122,87,-4,213,7,77,Other,Other,Other,Other,Other,Other,-4,Other,Other,Other
Blame,Calvin Harris,dance pop,2015,128,86,-4,213,8,76,Other,Other,Other,Other,Other,Other,-4,Other,Other,Other
This Is What You Came For,Calvin Harris,dance pop,2016,124,93,-3,222,3,80,Other,Other,Other,Other,Other,Other,-4,Other,Other,Other
My Way,Calvin Harris,dance pop,2017,120,91,-3,219,4,78,Other,Other,Other,Other,Other,Other,-4,Other,Other,Other
Slide (feat. Frank Ocean & Migos),Calvin Harris,dance pop,2017,104,80,-3,231,5,75,Other,Other,Other,Other,Other,Other,-4,Other,Other,Other
One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,86,-3,215,11,86,Other,Other,Other,Other,Other,Other,-4,Other,Other,Other
Giant (with Rag'n'Bone Man),Calvin Harris,dance pop,2019,122,89,-4,229,4,84,Other,Other,Other,Other,Other,Other,-4,Other,Other,Other
Crying in the Club,Camila Cabello,dance pop,2017,85,62,-6,216,38,75,Other,Other,Other,Other,Other,Other,-4,Other,Other,Other
Havana (feat. Young Thug),Camila Cabello,dance pop,2018,105,52,-4,217,3,85,Other,Other,Other,Other,Other,Other,-4,Other,Other,Other
Never Be the Same - Radio Edit,Camila Cabello,dance pop,2018,130,69,-4,227,9,57,Other,Other,Other,Other,Other,Other,-4,Other,Other,Other
Bodak Yellow,Cardi B,pop,2017,125,72,-6,224,11,70,Other,Other,Other,Other,Other,Other,-4,Other,Other,Other
